Date,platinum
2021-08-25,996.5
2021-08-24,1013.0
2021-08-23,1015.9
2021-08-22,988.45
2021-08-20,995.7
2021-08-19,972.8
2021-08-18,998.6
2021-08-17,996.2
2021-08-16,1023.1
2021-08-15,1023.55
2021-08-13,1028.2
2021-08-12,1020.1
2021-08-11,1017.9
2021-08-10,989.2
2021-08-09,973.6
2021-08-08,956.95
2021-08-06,974.9
2021-08-05,1008.4
2021-08-04,1024.1
2021-08-03,1049.9
2021-08-02,1058.9
2021-08-01,1051.75
2021-07-30,1051.5
2021-07-29,1070.6
2021-07-28,1058.1
2021-07-27,1049.5
2021-07-26,1070.0
2021-07-25,1062.0
2021-07-23,1061.4
2021-07-22,1090.6
2021-07-21,1075.3
2021-07-20,1065.2
2021-07-19,1071.4
2021-07-18,1104.2
2021-07-16,1108.5
2021-07-15,1137.7
2021-07-14,1128.1
2021-07-13,1111.2
2021-07-12,1123.0
2021-07-11,1096.0
2021-07-09,1095.7
2021-07-08,1074.5
2021-07-07,1081.9
2021-07-06,1084.0
2021-07-05,1101.9
2021-07-02,1087.7
2021-07-01,1080.9
2021-06-30,1072.9
2021-06-29,1070.6
2021-06-28,1099.2
2021-06-27,1114.7
2021-06-25,1105.7
2021-06-24,1096.1
2021-06-23,1089.5
2021-06-22,1072.9
2021-06-21,1054.1
2021-06-20,1039.1
2021-06-18,1045.2
2021-06-17,1059.1
2021-06-16,1145.9
2021-06-15,1152.7
2021-06-14,1169.2
2021-06-13,1144.15
2021-06-11,1155.0
2021-06-10,1150.1
2021-06-09,1155.7
2021-06-08,1166.4
2021-06-07,1178.8
2021-06-06,1170.6
2021-06-04,1168.5
2021-06-03,1166.6
2021-06-02,1196.7
2021-06-01,1203.8
2021-05-31,1193.4
2021-05-30,1187.45
2021-05-28,1186.6
2021-05-27,1183.4
2021-05-26,1201.6
2021-05-25,1201.0
2021-05-24,1181.6
2021-05-23,1174.6
2021-05-21,1173.4
2021-05-20,1208.5
2021-05-19,1205.0
2021-05-18,1228.7
2021-05-17,1247.9
2021-05-16,1231.4
2021-05-14,1226.1
2021-05-13,1209.7
2021-05-12,1229.2
2021-05-11,1244.8
2021-05-10,1269.0
2021-05-09,1261.25
2021-05-07,1257.9
2021-05-06,1260.9
2021-05-05,1232.3
2021-05-04,1235.3
2021-05-03,1233.6
2021-05-02,1203.2
2021-04-30,1208.7
2021-04-29,1201.1
2021-04-28,1212.2
2021-04-27,1249.5
2021-04-26,1245.2
2021-04-25,1236.0
2021-04-23,1233.1
2021-04-22,1208.5
2021-04-21,1214.7
2021-04-20,1196.3
2021-04-19,1206.5
2021-04-18,1205.35
2021-04-16,1208.7
2021-04-15,1200.2
2021-04-14,1177.4
2021-04-13,1157.1
2021-04-12,1174.8
2021-04-11,1207.4
2021-04-09,1209.3
2021-04-08,1235.4
2021-04-07,1231.9
2021-04-06,1240.5
2021-04-05,1209.8
2021-04-04,1220.9
2021-04-01,1208.6
2021-03-31,1191.5
2021-03-30,1160.6
2021-03-29,1183.4
2021-03-28,1190.5
2021-03-26,1181.7
2021-03-25,1158.5
2021-03-24,1184.8
2021-03-23,1178.8
2021-03-22,1188.1
2021-03-21,1188.0
2021-03-19,1204.1
2021-03-18,1221.6
2021-03-17,1203.6
2021-03-16,1223.4
2021-03-15,1213.9
2021-03-14,1206.8
2021-03-12,1204.4
2021-03-11,1207.0
2021-03-10,1206.6
2021-03-09,1180.0
2021-03-08,1156.6
2021-03-07,1142.45
2021-03-05,1132.9
2021-03-04,1139.9
2021-03-03,1186.6
2021-03-02,1218.6
2021-03-01,1195.1
2021-02-28,1205.25
2021-02-26,1189.3
2021-02-25,1235.7
2021-02-24,1259.2
2021-02-23,1244.1
2021-02-22,1286.4
2021-02-21,1297.6
2021-02-19,1297.1
2021-02-18,1278.3
2021-02-17,1261.4
2021-02-16,1282.9
2021-02-15,1318.75
2021-02-14,1271.45
2021-02-12,1261.5
2021-02-11,1249.8
2021-02-10,1249.7
2021-02-09,1196.6
